;PROCED;LATITUD;LONGITUD;REGION;PUERTO;ANO_REG;MES_REG;DIA_REG;FUNCION;EMBARC;CAPTURA_1;UNIDAD_1;CAPTURA_2;UNIDAD_2;DESTINO;ANO_ZAR;MES_ZAR;DIA_ZAR;HOR_ZAR;ANO_ARR;MES_ARR;DIA_ARR;HOR_ARR;PROF;HOR_BUC;ESFUERZO;CPUE;N_BUZOS;POLIGONO
1;7777;-43.947778;-74.030672;11;961;2019;4;26;E;622130;5210;3;5210;3;1;2019;4;22;700;2019;4;26;1408;10;1200;24;217.1;2;7
2;8009;-44.75;-73.766667;10;958;2019;7;19;A;621797;27000;3;27000;3;1;2019;7;15;700;2019;7;19;1600;0;0;0;;0;11
3;8072;-42.628364;-72.933611;10;953;2019;5;28;E;619468;1058;3;1058;3;1;2019;5;28;600;2019;5;28;1700;6;800;16;66.1;2;NA
4;8080;-42.771111;-72.854444;10;953;2019;5;23;E;617472;1134;3;1134;3;1;2019;5;23;830;2019;5;23;1800;4;500;10;113.4;2;5
5;8080;-42.771111;-72.854444;10;953;2019;5;23;E;619586;3390;3;3390;3;1;2019;5;21;730;2019;5;23;1730;15;900;18;188.3;2;5
6;8188;-42.989572;-73.464167;10;953;2019;4;30;E;619471;1081;3;1081;3;1;2019;4;30;630;2019;4;30;1534;8;400;12;90.1;3;6
7;8189;-42.888728;-73.542725;10;953;2019;6;18;E;619476;233;3;233;3;1;2019;6;18;700;2019;6;18;1440;7;400;4;58.3;1;6
8;8189;-42.888728;-73.542725;10;953;2019;4;10;E;621733;340;3;340;3;1;2019;4;10;800;2019;4;10;1500;15;300;3;113.3;1;6
9;8189;-42.888728;-73.542725;10;953;2019;4;2;E;621733;200;3;200;3;1;2019;4;2;800;2019;4;2;1500;14;200;2;100;1;6
10;8189;-42.888728;-73.542725;10;953;2019;5;20;E;619476;263;3;263;3;1;2019;5;20;800;2019;5;20;1500;8;400;8;32.9;2;6
11;8189;-42.888728;-73.542725;10;953;2019;6;26;E;619476;380;3;380;3;1;2019;6;26;800;2019;6;26;1420;8;400;8;47.5;2;6
12;8193;-41.771389;-73.721389;10;942;2019;2;22;E;610928;25;3;25;3;1;2019;2;22;800;2019;2;22;1016;32;37;1;40.5;1;2
13;8193;-41.771389;-73.721389;10;942;2019;6;8;E;614364;55;3;55;3;1;2019;6;8;830;2019;6;8;1058;15;100;1;55;1;2
14;8193;-41.771389;-73.721389;10;942;2019;6;10;E;611418;200;3;200;3;1;2019;6;10;1015;2019;6;10;1349;10;200;4;50;2;2
15;8193;-41.771389;-73.721389;10;942;2019;3;24;E;610928;300;1;73;3;2;2019;3;24;830;2019;3;24;1048;28;30;1;146;1;2
16;8193;-41.771389;-73.721389;10;942;2019;6;10;E;615005;600;1;122;3;2;2019;6;10;1100;2019;6;10;1354;30;30;1;244;1;2
17;8193;-41.771389;-73.721389;10;942;2019;2;24;E;615044;550;1;133;3;2;2019;2;24;1000;2019;2;24;1203;35;35;1;114;2;2
18;8193;-41.771389;-73.721389;10;942;2019;2;14;E;614140;700;1;169;3;2;2019;2;14;1345;2019;2;14;1620;40;40;1;253.5;1;2
19;8193;-41.771389;-73.721389;10;942;2019;6;8;E;610928;500;1;102;3;2;2019;6;8;800;2019;6;8;1046;32;40;1;153;1;2
